name,kuerzel
Mittelgrund,MIT
Mommark,MOM_DK
MorayFirth,MOR_UK
Nes,NES_NL
Newhaven,NHA_UK
Nieuwpoort,NIE_B
Noordwijk,NWM_NL
Nordenham,NUF
Nordenham,Nordenham
NorderneyRiffgat,NOY
NordseebojeII,WA_NSB-II
NordseebojeII,NSB-II
NordseebojeII,Nordseeboje-II
NordseebojeIII,WA_NSB-III
NorthShields,NSH_UK
NP1,DIA_NP1
NP2,DIA_NP2
NP3,DIA_NP3
Ostende,OST_B
OtzumI,WA_OTZ
Papenburg,PAP
Pellworm,PEL
Pettenzuid,PTZ_NL
Pogum,POG
Pogum,SA_POG
Portsmouth,PTM_UK
Rechtenfleth,RFL
Robbensuedsteert,RSS
Robbensuedsteert,SA_RSS
Robbensuedsteert,Robbensuedsteert
RobbensuedsteertSoM2002,CU_RSS1
RobbensuedsteertSU,CU_RSS2
ROCHEL,DIA_ROCHE
Rodbyhavn,ROD_DK
Roompotbuiten,ROO_NL
Roscoff,ROS_FR
Scharhoern,SCH
Scharhoern,SCHAR
Scheveningen,SVN_NL
Schiermannskoog,SMK_NL
Schiermannskoog,Schiermonnikoog
Schiermannskoog,Schiermonnikooeg
Schillig,SLG
Schluettsiel,SSL
Seemannshoeft,SEEM
Sheerness,SHE_UK
Skagen,SKA_DK
Slipshavn,SLI_DK
So02RSS,So02RSS
So07JD0,WD0
So07JD0,So07JD0
So07JD1,WD1
So07JD1,So07JD1
So07JD2,WD2
So07JD2,So07JD2
So07JD3,WD3
So07JD3,So07JD3
So07JD4,WD4
So07JD4,So07JD4
So07JD5,WD5
So07JD5,So07JD5
SP1,DIA_SP1
Spiekeroog,SPI
Stavanger,STA_N
StHelierJersey,JER_UK
StMalo,MAL_FR
StPauli,STP
Suederpieptonne,SPIEP
Sylt,Sylt
Terborg,TER
Terneuzen,TER_NL
Terschelling,TSN_NL
Terschelling,TSN
Texel,TXN_NL
Thorsminde,TOR_DK
Thyboron,THY_DK
Tonne48,DIA_T48
Tonne5,DIA_T5
Tonne9,DIA_T9
TonneA2,DIA_A2
TonneE3,DIA_E3
TonneH0,DIA_H0
Tregde,TRE_N
TyneTees,WA_TTE
Vesteroe,VES_DK
Viker,VIK_N
Vlielandhaven,VLI_NL
Vlissingen,VLS_NL
Vosslapp,VLP
VTG1,DIA_VTG1
VTG2,DIA_VTG2
Walcott,WA_WAL
WangeroogeNord,WAN
Weener,WEE
Weser1,DIA_WES1
Weser10,DIA_WES10
Weser11,DIA_WES11
Weser12,DIA_WES12
Weser13,DIA_WES13
Weser2,DIA_WES2
Weser3,DIA_WES3
Weser4,DIA_WES4
Weser5,DIA_WES5
Weser6,DIA_WES6
Weser7,DIA_WES7
Weser8,DIA_WES8
Weser9,DIA_WES9
Weserbruecke,WBR
Westerland,WA_WES
Westerland,Westerland
WesterlandII,WA_WES-II
WestGabbard,WA_WGB
Westkapelle,WES_NL
WestTerschelling,WTE_NL
Weymouth,WEY_UK
Whitby,WTB_UK
Wick,WIK_UK
Wierumergronden,WRG_NL
Wilhelmshaven,WAV
Wittduen,WIT
WursterArm,DIA_WA
WykFoehr,WYK
Zeebruges,ZEE_B
Zehnerloch,ZLO
Zehnerloch,ZEH
