name,RW,HW,Latitude,StationNo
Weser12,474779.3127,5890862.895,53.16653502,120
Weser11,466481.7978,5896133.127,53.21345033,121
Rechtenfleth,466778.399,5914790.268,53.38117125,122
Weser10,466500.6548,5916490.227,53.39643377,123
BlexenReede,471160.6921,5930578.855,53.52334415,124
Weser4,471592.4146,5931561.898,53.53220363,125
Weser5,471424.9926,5931661.051,53.53308577,126
Weser6,471205.2214,5931754.527,53.53391397,127
BhvSU,470910.012,5932669.098,53.54211819,128
Bhv2006MP,470922.0074,5932681.093,53.54222667,129
BremerhavenStr,470918.812,5932679.966,53.54221636,130
Bremerhaven,471388.6257,5932985.842,53.54499149,131
Bremerhaven2,471380.8292,5932976.969,53.54491131,132
Weser3,468927.8978,5936649.046,53.57777754,133
CT,468991.6947,5936804.424,53.57917789,134
Weser2,464830.301,5941756.047,53.6234212,135
Tonne48,465003.3074,5942117.141,53.62667834,136
RobbensuedsteertSU,463412.1497,5943471.916,53.63874635,137
Robbensuedsteert,463334.8729,5943517.67,53.63915218,138
RobbensuedsteertSoM2002,463279.2039,5943563.881,53.63956363,139
So02RSS,463279.196,5943563.888,53.63956369,140
WursterArm,461241.1351,5947060.641,53.67084542,141
Tonne9,453410.1912,5956867.418,53.75834617,142
BakeA,455110.2817,5982006.354,53.98443089,143
BakeZ,455104.2951,5985251.061,54.01359144,144
ElbeLZ5,464744.2304,5979989.454,53.9670509,145
ElbeLZ5Tonne,463544.716,5980468.284,53.97127123,146
Scharhoern,465116.2879,5980312.995,53.96998398,147
GVogelsand,465702.0642,5983151.861,53.99553767,148
Elbe1,473661.5905,5979162.175,53.96014659,149
Mittelgrund,476123.8894,5977122.229,53.94193146,150
ElbeLZ4a,476987.257,5975414.046,53.92661768,151
ElbeLZ4bTonne,477379.1173,5975249.125,53.92515265,152
ElbeLZ4b,477479.0746,5975130.17,53.92408786,153
ElbeLZ4,479128.4656,5976604.565,53.93740864,154
ElbeLZ4c,478626.6613,5976551.594,53.93691207,155
Zehnerloch,477589.3106,5978629.623,53.95554519,156
Elbe2,481552.0558,5969621.163,53.87473421,157
Medem1,484020.641,5971060.767,53.88775529,158
Cuxhaven,481759.615,5969090.411,53.86997114,159
Medem2,486539.8218,5972531.237,53.9010434,160
Elbe3,486218.5908,5965872.17,53.84118292,161
ElbeLZ3,487221.991,5965017.994,53.83353114,162
ElbeLZ32,487222.0161,5965018.024,53.83353141,163
ElbeLZ31,487244.0091,5965101.99,53.83428665,164
ElbeLZ3a,487230.0119,5964969.043,53.83309136,165
Otterndorf,491374.8265,5965085.324,53.83422183,166
Medem6,492656.7045,5969457.295,53.87353733,167
ElbeLZ2,496456.4331,5968108.645,53.86145538,168
Elbe4,496814.7146,5966559.107,53.84753025,169
ElbeLZ2Tonne,501169.5859,5968777.296,53.86747607,170
ElbeLZ2a,501399.399,5968933.228,53.86887704,171
ElbeLZ1b,508066.8692,5969533.866,53.87421482,172
ElbeLZ1,511512.444,5969461.81,53.87350217,173
ElbeLZ1Tonne,511512.5025,5969461.83,53.87350235,174
ElbeD4,524520.172,5960954.919,53.7965908,175
ElbeD4o,524520.167,5960954.929,53.79659089,176
ElbeD4s,524520.172,5960954.919,53.7965908,177
ElbeD4u,524520.172,5960954.919,53.7965908,178
Grauerort,532690.673,5947800.186,53.67790721,179
ElbeD2,537664.628,5940062.939,53.60802994,180
ElbeD2o,537664.628,5940062.939,53.60802994,181
ElbeD2u,537664.628,5940062.939,53.60802994,182
ElbeD1,544511.821,5935414.578,53.56571387,183
ElbeD1o,544511.815,5935414.569,53.56571379,184
ElbeD1u,544511.815,5935414.569,53.56571379,185
Seemannshoeft,558373.4375,5932927.5,53.54200232,186
Harburg,565812.5,5925418,53.47363263,187
Geesthacht,588055.125,5920433.5,53.42559033,188
Bunthaus,570711.4375,5924163,53.46171859,189
StPauli,564284.4375,5933250.5,53.54421499,190
Blankenese,552637.875,5934496,53.55670575,191
Elbe9,546963.4949,5935414.348,53.56549812,192
ElbeD3,531367.287,5951558.545,53.7117687,193
ElbeD3o,531367.287,5951558.545,53.7117687,194
ElbeD3u,531367.287,5951558.545,53.7117687,195
Elbe8,528290.1892,5953903.11,53.7330177,196
Elbe7,528596.828,5954350.671,53.73702368,197
Glueckstadt,526614.125,5959686.5,53.78508736,198
Elbe6,517389.3517,5969188.539,53.87088233,199
ElbeLZ1a,512669.0879,5971093.148,53.88813776,200
Brunsbuettel,508099.857,5970552.088,53.88336616,201
Elbe5,507091.1551,5969890.841,53.87743759,202
Medem5,488794.9128,5972008.201,53.89639599,203
Medem4,488841.529,5972220.726,53.89830718,204
Medem3,488899.9403,5972378.163,53.89972347,205
Buesum,490909.3717,5996767.28,54.11896899,206
SP1,478394.4301,5996839.741,54.11924674,207
NP2,479389.6173,6001358.122,54.15989686,208
NP1,478471.2982,6002104.089,54.16656357,209
EidersperrwerkAP,489705.193,6013125.032,54.26596312,210
NP3,474257.6876,6003416.382,54.17816374,211
Suederpieptonne,462944.309,5994796.241,54.1,212
Eidertonne,443531.789,6011683.979,54.25,213
Helgoland,428640.895,6001614.628,54.15765768,214
ROCHEL,461428.6146,6016141.544,54.29172195,215
Hev2,469857.1988,6029007.287,54.40791429,216
Hev1,474229.135,6033090.147,54.44484739,217
Hev3,473755.3537,6033589.858,54.44931406,218
Hev5,477780.0128,6035601.039,54.46758063,219
Husum,500107.5938,6036845,54.47924655,220
Hev4,479622.8293,6037280.04,54.48274723,221
Pellworm,480705.1033,6039072.431,54.49889786,222
Schluettsiel,483609.1984,6059438.405,54.68202789,223
WykFoehr,473495.2287,6060198.138,54.68842475,224
Dagebuell,479848.7153,6064852.262,54.73054434,225
HoernumI,464741.687,6072025.206,54.79417075,226
HoernumTief1,459958.809,6069887.752,54.7746042,227
HoernumTief2,460619.37,6070390.15,54.77917112,228
HoernumHafen,455098.5819,6068094.059,54.75807475,229
Hoernum,455052.3476,6067811.508,54.75553157,230
Amrum1,453861.5412,6043653.898,54.53833738,231
Wittduen,460816.2559,6053977.66,54.63169809,232
HoernumLoch1,452277.2652,6067224.953,54.75000484,233
NordseebojeIII,357048.2158,6061625.186,54.68165873,234
HoernumWest,452949.4377,6068139.049,54.75828234,235
NordseebojeII,329447.33,6098041.21,54.99998043,236
WesterlandII,441624.568,6085896.468,54.91665392,237
Westerland,428579,6095359.95,54.99998614,238
ListWest,459806.8168,6099230.647,55.03826797,239
List,464815.8151,6096980.525,55.01842815,240
Ballum,479106.4229,6109369.558,55.13056335,241
Esbjerg,464181.2465,6146867.676,55.4666502,242
FINO3,382700.8371,6118480.269,55.19895214,243
Hvidesande,443041.8652,6206103.197,55.99683103,244
Thorsminde,443808.709,6247400.783,56.3679206,245
Ferring,443557.8757,6265869.448,56.5337973,246
Thyboron,448372.0388,6286301.316,56.71789125,247
Hanstholm,471975.3438,6331815,57.12876791,248
Hirtshals,555679.625,6384857,57.60266252,249
Skagen,596788.25,6397294.5,57.70739795,250
Frederikshavn,596708,6368287,57.4469546,251
Vesteroe,613191.25,6354208,57.31674372,252
Aarhus,586732.055,6278593.817,56.64346843,253
Anholt,651903.125,6290024,56.72946137,254
Korsor,632024.375,6133898.5,55.3336963,255
Fredericia,549751.2429,6156781.404,55.55450515,256
Fynshav,564262.2271,6097293.023,55.01833026,257
Slipshavn,619519.3585,6128501.366,55.28842198,258
Mommark,568375.5512,6087855.764,54.93298924,259
LTKiel,582492.734,6039856.828,54.49960466,260
Fehmarnbelt,638881.3172,6052406.591,54.60000855,261
Rodbyhavn,651626.2495,6054946.524,54.61915287,262
Gedser,686236.0625,6049440,54.55815412,263
Kobenhaven,728821.625,6179261.5,55.70501927,264
Hornbaek,716483.25,6225071,56.12153014,265
Viker,612004.3653,6541531.44,58.99861506,266
Helgeroa,549025.1439,6531967.506,58.92459336,267
Tregde,415305.6544,6422278.496,57.93418292,268
Stavanger,297521.7155,6551547.718,59.05515947,269
Bergen,268514.6039,6694353.397,60.3194672,270
Fedje1,260239.6449,6739817.576,60.72168008,271
Lerwick,-51857.9625,6706327.284,60.11844671,272
Wick,-196343.8199,6538960.426,58.43073766,273
MorayFirth,-259804.5358,6467341.732,57.69871893,274
Aberdeen,-164260.2969,6384763.5,57.12190407,275
Leith,-252608.517,6275904.679,56.03103015,276
NorthShields,-160566.2927,6145236.613,55.0121111,277
TyneTees,-123756.102,6129292.555,54.91828773,278
Whitby,-119169.0469,6083266.5,54.5161803,279
Immingham,-93718.0696,5973127.078,53.5690664,280
Cromer,-16299.0251,5894448.352,52.95010934,281
Lowestoft,7916.2391,5838400.673,52.47304403,282
WestGabbard,25418.372,5782256.932,51.98746816,283
Felixstowe,-23800.1782,5784042.408,51.95926819,284
Harwich,-26431.1329,5780252.924,51.92302214,285
Sheerness,-69902.8317,5733157.78,51.4612841,286
Dover,-34982.8372,5688219.689,51.09484838,287
Newhaven,-130961.5121,5657598.03,50.72570102,288
Portsmouth,-206935.1239,5660922.757,50.66810962,289
Bournemouth,-266813.1526,5663006.95,50.61115243,290
Weymouth,-316161.3728,5662249.259,50.53792937,291
Devonport,-417230.7812,5633538,50.13773329,292
