name,kuerzel
Slipshavn,SLI_DK
So07JD0,WD0
So07JD1,WD1
So07JD2,WD2
So07JD3,WD3
So07JD4,WD4
So07JD5,WD5
Spiekeroog,SPI
StPauli,STP
StHelier_Jersey,JER_UK
StMalo,MAL_FR
Stavanger,STA_N
Suederpieptonne,SPIEP
Terborg,TER
Terneuzen,TER_NL
Terschelling,TSN_NL
Terschelling,TSN
Texel,TXN_NL
Thyboron,THY_DK
Tonne48,DIA_T48
Tonne5,DIA_T5
Tonne9,DIA_T9
TonneE3,DIA_E3
TonneH0,DIA_H0
Tonne_A2,DIA_A2
Thorsminde,TOR_DK
Tregde,TRE_N
UK_Felixtowe,WA_FEL
UK_Tyne-Tees,WA_TTE
UK_Walcott,WA_WAL
UK_WestGabbard,WA_WGB
VTG1,DIA_VTG1
VTG2,DIA_VTG2
Vesteroe,VES_DK
Viker,VIK_N
Vlieland_haven,VLI_NL
Vlissingen,VLS_NL
Voslapp,VLP
WSA_Cux_LZ1a,LZ1a
WSA_Cux_Z2a,LZ2a
Wangerooge_Nord,WAN
Weener,WEE
Weser1,DIA_WES1
Weser10,DIA_WES10
Weser11,DIA_WES11
Weser12,DIA_WES12
Weser13,DIA_WES13
Weser2,DIA_WES2
Weser3,DIA_WES3
Weser4,DIA_WES4
Weser5,DIA_WES5
Weser6,DIA_WES6
Weser7,DIA_WES7
Weser8,DIA_WES8
Weser9,DIA_WES9
Weserbruecke,WBR
West_Terschelling,WTE_NL
Westerland,WA_WES
Westerland_II,WA_WES-II
Westkapelle,WES_NL
Weymouth,WEY_UK
Whitby,WTB_UK
Wick,WIK_UK
Wierumergronden,WRG_NL
Wilhelmshaven,WAV
Wittduen,WIT
Wurster_Arm,DIA_WA
Wyk_Foehr,WYK
Zeebruges,ZEE_B
Zehnerloch,ZLO
Zehnerloch,ZEH
km_85,DIA_KM85
